slug,timestamp,open,high,low,close,volume,quote_volume
btc-updown-15m-1767665700,1767666627,93699.08,93699.08,93699.08,93699.08,0.00057,53.4084756
btc-updown-15m-1767665700,1767666628,93699.08,93699.08,93699.08,93699.08,0.00012,11.2438896
btc-updown-15m-1767665700,1767666629,93699.07,93699.08,93699.07,93699.07,0.00583,546.2656124
btc-updown-15m-1767665700,1767666630,93699.07,93699.07,93699.07,93699.07,0.00175,163.9733725
btc-updown-15m-1767665700,1767666631,93699.07,93699.08,93699.07,93699.08,0.14914,13974.2793434
btc-updown-15m-1767665700,1767666632,93699.07,93699.07,93699.07,93699.07,0.00039,36.5426373
btc-updown-15m-1767665700,1767666633,93699.08,93699.08,93699.07,93699.07,0.01416,1326.778972
btc-updown-15m-1767665700,1767666634,93699.07,93699.07,93699.07,93699.07,0.00397,371.9853079
btc-updown-15m-1767665700,1767666635,93699.08,93699.08,93699.08,93699.08,0.00046,43.1015768
btc-updown-15m-1767665700,1767666636,93699.08,93699.08,93699.08,93699.08,0.0,0.0
btc-updown-15m-1767665700,1767666637,93699.07,93699.08,93699.07,93699.08,0.05458,5114.0952528
btc-updown-15m-1767665700,1767666638,93699.08,93699.08,93699.07,93699.07,0.02578,2415.5620388
btc-updown-15m-1767665700,1767666639,93699.07,93699.07,93699.07,93699.07,0.0,0.0
btc-updown-15m-1767665700,1767666640,93699.07,93699.07,93699.07,93699.07,0.0043,402.906001
btc-updown-15m-1767665700,1767666641,93699.08,93699.08,93699.07,93699.07,0.01109,1039.1226905
btc-updown-15m-1767665700,1767666642,93699.07,93699.07,93699.07,93699.07,0.25119,23536.2693933
btc-updown-15m-1767665700,1767666643,93699.07,93699.08,93699.07,93699.08,0.02128,1993.9164163
btc-updown-15m-1767665700,1767666644,93699.08,93699.08,93699.07,93699.07,0.01809,1695.0162111
btc-updown-15m-1767665700,1767666645,93699.08,93699.08,93699.08,93699.08,0.00042,39.3536136
btc-updown-15m-1767665700,1767666646,93699.08,93699.08,93699.08,93699.08,0.0,0.0
btc-updown-15m-1767665700,1767666647,93699.08,93699.08,93699.08,93699.08,0.0,0.0
btc-updown-15m-1767665700,1767666648,93699.07,93699.08,93699.07,93699.08,0.00916,858.2835718
btc-updown-15m-1767665700,1767666649,93699.08,93699.08,93699.08,93699.08,7e-05,6.5589356
btc-updown-15m-1767665700,1767666650,93699.08,93703.91,93699.07,93703.91,1.9632,183951.2424842
btc-updown-15m-1767665700,1767666651,93703.91,93714.0,93703.91,93714.0,0.35076,32869.3269992
btc-updown-15m-1767665700,1767666652,93714.0,93714.0,93714.0,93714.0,0.00452,423.58728
btc-updown-15m-1767665700,1767666653,93714.0,93714.0,93713.99,93713.99,0.0034,318.627595
btc-updown-15m-1767665700,1767666654,93713.99,93713.99,93713.99,93713.99,0.0,0.0
btc-updown-15m-1767665700,1767666655,93713.99,93714.0,93713.99,93713.99,0.78535,73598.2892225
btc-updown-15m-1767665700,1767666656,93714.0,93714.0,93713.99,93713.99,0.03704,3471.1664927
btc-updown-15m-1767665700,1767666657,93714.0,93714.0,93713.99,93713.99,0.01125,1054.2823947
btc-updown-15m-1767665700,1767666658,93714.0,93714.0,93707.16,93707.17,0.50632,47448.9573328
btc-updown-15m-1767665700,1767666659,93707.16,93707.17,93707.16,93707.16,0.02062,1932.2416712
btc-updown-15m-1767665700,1767666660,93707.16,93707.16,93691.2,93691.21,0.55222,51744.5262214
btc-updown-15m-1767665700,1767666661,93691.2,93691.2,93676.03,93676.03,0.22966,21515.2592594
btc-updown-15m-1767665700,1767666662,93676.03,93676.04,93676.03,93676.03,0.01313,1229.9663558
btc-updown-15m-1767665700,1767666663,93676.03,93676.04,93676.03,93676.04,0.01516,1420.128743
btc-updown-15m-1767665700,1767666664,93676.03,93676.04,93676.03,93676.03,0.02558,2396.2328491
btc-updown-15m-1767665700,1767666665,93676.03,93676.03,93674.0,93674.0,0.11545,10814.8669348
btc-updown-15m-1767665700,1767666666,93674.0,93674.01,93674.0,93674.0,0.05382,5041.5346973
btc-updown-15m-1767665700,1767666667,93674.0,93674.01,93674.0,93674.0,0.00501,469.306749
